id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern,trade_outcome,speed_category,swing_category
144,PARTIUSDT,15m,LONG,pinbar_buy,0.06528000,0.06356328,0.06871344,0.06871344,0.06871344,TP2_HIT,TP2_HIT,2.0000,5.2596,uptrend,f,9,choppy,-0.4707,65.00,with,0.00101000,,,,2.1203,-0.3612,2025-11-07 10:45:17.21444,,,335,,,0.00117787,,0.00000000,,2.00,2.00,2.00,f,,t,t,100.00,0.00,100.00,0.00,0.06356328,0.06871344,100.00,,,,,,,,,Win,Slow (>4h),Medium (6-9)
143,ATOMUSDT,15m,SHORT,pinbar_sell,2.57100000,2.60171948,2.50956105,2.50956105,2.50956105,SL_HIT,SL_HIT,-1.0000,-1.1948,downtrend,t,9,bullish,-0.1985,50.00,with,0.01700000,sideways,0.0000,,0.1628,-1.0417,2025-11-06 17:15:23.675821,33,,,,,0.02286579,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,2.60171948,2.60171948,100.00,,,,,,,,,Loss,,Medium (6-9)
142,BASUSDT,15m,SHORT,pinbar_sell,0.00847000,0.00872333,0.00796335,0.00796335,0.00796335,SL_HIT,SL_HIT,-1.0000,-2.9909,downtrend,t,8,bullish,-0.0728,50.00,with,0.00014000,sideways,0.0000,,0.4737,-0.3553,2025-11-06 17:15:21.215181,14,,,,,0.00018888,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.00872333,0.00872333,100.00,,,,,,,,,Loss,,Medium (6-9)
141,ALICEUSDT,15m,SHORT,pinbar_sell,0.23900000,0.24429436,0.22841127,0.22841127,0.22841127,SL_HIT,SL_HIT,-1.0000,-2.2152,downtrend,f,6,choppy,-0.6110,50.00,with,0.00300000,sideways,0.0000,,0.0000,-1.5110,2025-11-06 17:15:21.19905,139,,,,,0.00382394,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.24429436,0.24429436,100.00,,,,,,,,,Loss,,Medium (6-9)
140,NOTUSDT,15m,SHORT,pinbar_sell,0.00062430,0.00063534,0.00060222,0.00060222,0.00060222,SL_HIT,SL_HIT,-1.0000,-1.7684,downtrend,f,9,bearish,-1.5227,65.00,with,0.00000650,sideways,0.0000,,0.0543,-0.9873,2025-11-06 17:15:17.679398,33,,,,,0.00000756,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.00063534,0.00063534,100.00,,,,,,,,,Loss,,Medium (6-9)
139,AIAUSDT,15m,LONG,pinbar_buy,4.87800000,3.75059953,6.90732084,6.90732084,6.90732084,TP2_HIT,TP2_HIT,1.8000,41.6015,uptrend,f,4,bullish,11.3228,50.00,with,0.75790000,,,,2.3646,-0.2515,2025-11-06 17:15:16.097129,,,266,,,0.61583412,,0.00000000,,1.80,1.80,1.80,f,,t,t,100.00,0.00,100.00,0.00,3.75059953,6.90732084,100.00,,,,,,,,,Win,Slow (>4h),Low (<6)
138,GALAUSDT,15m,SHORT,pinbar_sell,0.00859000,0.00874225,0.00828550,0.00828550,0.00828550,SL_HIT,SL_HIT,-1.0000,-1.7724,downtrend,f,8,choppy,-0.7472,65.00,with,0.00009000,sideways,0.0000,,0.0657,-1.0509,2025-11-06 17:15:12.456791,34,,,,,0.00010375,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.00874225,0.00874225,100.00,,,,,,,,,Loss,,Medium (6-9)
137,ALPINEUSDT,15m,SHORT,pinbar_sell,0.67790000,0.69322762,0.64724476,0.64724476,0.64724476,SL_HIT,SL_HIT,-1.0000,-2.2610,downtrend,f,7,bearish,-1.1400,65.00,with,0.01190000,sideways,0.0000,,1.1287,-0.2805,2025-11-06 10:15:13.996499,570,,,,,0.00571270,,0.00000000,,2.00,2.00,2.00,f,,f,t,100.00,0.00,100.00,0.00,0.69322762,0.67023619,100.00,,,,,,,,,Loss,,Medium (6-9)
136,PROMPTUSDT,15m,LONG,pinbar_buy,0.07059000,0.06540831,0.07991703,0.07991703,0.07991703,TP2_HIT,TP2_HIT,1.8000,13.2130,uptrend,f,8,choppy,1.5652,50.00,with,0.00359000,,,,5.9035,-0.0888,2025-11-06 10:15:12.368411,,,401,,,0.00265281,,0.00000000,,1.80,1.80,1.80,f,,t,f,100.00,0.00,100.00,0.00,0.06540831,0.07991703,100.00,,,,,,,,,Win,Slow (>4h),Medium (6-9)
135,ZEREBROUSDT,15m,SHORT,pinbar_sell,0.04564000,0.04638910,0.04414180,0.04414180,0.04414180,SL_HIT,SL_HIT,-1.0000,-1.6413,downtrend,f,7,bearish,-0.2083,65.00,with,0.00044000,sideways,0.0000,,0.8410,-2.8568,2025-11-06 10:00:18.015102,1337,,,,,0.00051517,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.04638910,0.04638910,100.00,,,,,,,,,Loss,,Medium (6-9)
