id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
325,CELOUSDT,15m,SHORT,pinbar_sell,0.21900000,0.22202883,0.21294235,0.21294235,0.21294235,SL_HIT,SL_HIT,-1.0000,-1.3830,downtrend,t,2,bullish,-0.3396,50.00,with,0.00200000,sideways,0.3302,,0.0000,-1.3206,2025-11-04 10:30:12.711529,40,0.00342942,,0.00000000,,2.00,2.00,2.00,f,
324,SYRUPUSDT,15m,SHORT,pinbar_sell,0.38873000,0.39281564,0.38055873,0.38055873,0.38055873,SL_HIT,SL_HIT,-1.0000,-1.0510,downtrend,f,6,choppy,-0.2560,50.00,with,0.00266000,sideways,1.4539,,0.0000,-1.0011,2025-11-04 09:15:17.192579,26,0.00475212,,0.00000000,,2.00,2.00,2.00,f,
323,SEIUSDT,15m,SHORT,pinbar_sell,0.15920000,0.16071473,0.15617053,0.15617053,0.15617053,SL_HIT,SL_HIT,-1.0000,-0.9515,downtrend,t,7,bullish,-0.4119,50.00,with,0.00090000,sideways,0.0000,,0.1981,-1.1223,2025-11-04 09:15:14.745787,26,0.00204911,,0.00000000,,2.00,2.00,2.00,f,
322,ZBTUSDT,15m,SHORT,pinbar_sell,0.15450000,0.15708216,0.14933569,0.14933569,0.14933569,SL_HIT,SL_HIT,-1.0000,-1.6713,downtrend,f,5,choppy,-1.3502,50.00,with,0.00190000,sideways,0.0000,,0.3485,-1.0069,2025-11-04 08:45:21.832666,120,0.00227386,,0.00000000,,2.00,2.00,2.00,f,
321,ETHFIUSDT,15m,SHORT,pinbar_sell,0.83110000,0.84422961,0.80484079,0.80484079,0.80484079,SL_HIT,SL_HIT,-1.0000,-1.5798,downtrend,f,5,bearish,-0.5859,65.00,with,0.00940000,sideways,0.0000,,0.5712,-0.9292,2025-11-04 08:45:21.828842,140,0.01243202,,0.00000000,,2.00,2.00,2.00,f,
318,FORMUSDT,15m,SHORT,pinbar_sell,0.41110000,0.41940540,0.39448920,0.39448920,0.39448920,SL_HIT,SL_HIT,-1.0000,-2.0203,downtrend,f,8,choppy,-0.5453,65.00,with,0.00640000,sideways,0.0000,,0.2769,-0.9391,2025-11-04 08:45:18.915327,94,0.00635134,,0.00000000,,2.00,2.00,2.00,f,
317,SUSHIUSDT,15m,SHORT,pinbar_sell,0.43890000,0.44437179,0.42795642,0.42795642,0.42795642,SL_HIT,SL_HIT,-1.0000,-1.2467,downtrend,f,6,bearish,-0.5689,65.00,with,0.00390000,sideways,0.2924,,0.6579,-1.0234,2025-11-04 08:45:14.778522,137,0.00523931,,0.00000000,,2.00,2.00,2.00,f,
314,TURBOUSDT,15m,SHORT,pinbar_sell,0.00180370,0.00183488,0.00174133,0.00174133,0.00174133,SL_HIT,SL_HIT,-1.0000,-1.7287,downtrend,t,6,bullish,-0.4826,80.00,with,0.00004000,sideways,0.0000,,0.2951,-0.8980,2025-11-04 08:45:12.67902,137,0.00002662,,0.00000000,,2.00,2.00,2.00,f,
311,UBUSDT,15m,SHORT,pinbar_sell,0.06108000,0.06295705,0.05770131,0.05770131,0.05770131,SL_HIT,SL_HIT,-1.0000,-3.0731,downtrend,f,8,bearish,-0.7279,50.00,with,0.00394000,sideways,0.0000,,1.0122,-1.2573,2025-11-04 08:30:18.902877,189,0.00139017,,0.00000000,,1.80,1.80,1.80,f,
310,1000SATSUSDT,15m,SHORT,engulfing_sell,0.00001930,0.00002000,0.00001803,0.00001803,0.00001803,SL_HIT,SL_HIT,-1.0000,-3.6269,uptrend,f,3,bearish,-1.0748,65.00,against,0.00000060,sideways,0.0000,,0.5714,-0.8571,2025-11-04 06:45:17.9376,261,0.00000034,,0.00000000,,1.80,1.80,1.80,f,
309,ENSOUSDT,15m,SHORT,pinbar_sell,1.06100000,1.07980048,1.02339905,1.02339905,1.02339905,SL_HIT,SL_HIT,-1.0000,-1.7720,sideways,f,4,bearish,0.0903,80.00,neutral,0.01400000,sideways,0.2660,,1.0106,-0.9042,2025-11-04 06:30:16.443908,122,0.01600159,,0.00000000,,2.00,2.00,2.00,f,
305,BLESSUSDT,15m,SHORT,fakey_sell,0.03588000,0.03767863,0.03264247,0.03264247,0.03264247,SL_HIT,SL_HIT,-1.0000,-5.0129,downtrend,f,9,bearish,-3.1097,80.00,with,0.00110000,sideways,0.0000,,0.7228,-1.9070,2025-11-04 06:00:27.527913,315,0.00072876,,0.00000000,,1.80,1.80,1.80,f,
304,ARCUSDT,15m,LONG,pinbar_buy,0.02893000,0.02684687,0.03267963,0.03267963,0.03267963,SL_HIT,SL_HIT,-1.0000,-7.2006,uptrend,f,10,choppy,4.6027,80.00,with,0.00171000,sideways,0.1296,,0.1056,-0.7681,2025-11-04 05:45:16.080335,16,0.00124377,,0.00000000,,1.80,1.80,1.80,f,
303,SCRTUSDT,15m,LONG,pinbar_buy,0.21620000,0.20131279,0.24299698,0.24299698,0.24299698,SL_HIT,SL_HIT,-1.0000,-6.8859,uptrend,f,10,bullish,4.9142,80.00,with,0.01210000,sideways,0.3224,,0.0000,-1.0009,2025-11-04 05:45:16.021065,9,0.00929071,,0.00000000,,1.80,1.80,1.80,f,
