id,symbol,timeframe,pattern_type,entry_price,sl_price,tp2_price,current_sl,status,direction,created_at,updated_at,telegram_message_id,tp1_price,tp3_price,initial_sl,position_size,partial_closed,be_activated,trailing_activated,exit_type,pnl_r,pnl_percent,atr_15m,atr_h4,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,free_path_r,arrival_pattern,mfe_r,mae_r,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_sl_min,time_to_be_min,first_touch,clearance_15m,clearance_1h,r_available,zone_test_count_24h,veto_reason,sl_buffer_atr15,pattern_score,pattern_score_factors,swing_extreme_price,sl_buffer_atr,round_number_adjusted,min_distance_from_zone,tp1_limited_by_zone,tp2_limited_by_zone,tp3_limited_by_zone,nearest_resistance_distance_r,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,dynamic_min_rr,dynamic_min_rr_adjustments,dynamic_min_rr_reasoning,trend_alignment,multi_tf_alignment,atr_volatility,rr_validation_passed,rr_validation_message,confluence_score,confluence_details,partial_close_p1,partial_close_p2,partial_close_p3,strategy_profile
126,SOLVUSDT,15m,pinbar_buy,0.02181000,0.02161777,0.02219446,0.02161777,SL_HIT,LONG,2025-11-03 00:45:14.532585,2025-11-03 02:08:00.579,2274,0.02219446,0.02219446,0.02161777,100.00,100.00,f,f,SL_HIT,-1.0000,-0.8814,0.00027410,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
83,ZROUSDT,15m,fakey_buy,1.62510000,1.61091790,1.65346419,1.61091790,SL_HIT,LONG,2025-11-01 23:15:13.670471,2025-11-02 01:56:00.567,2186,1.65346419,1.65346419,1.61091790,100.00,100.00,f,f,SL_HIT,-1.0000,-0.8727,0.01027365,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
141,UNIUSDT,15m,pinbar_sell,5.37400000,5.42317717,5.27564566,5.42317717,SL_HIT,SHORT,2025-11-03 07:45:20.292336,2025-11-03 09:08:01.04,2304,5.27564566,5.27564566,5.42317717,100.00,100.00,f,f,SL_HIT,-1.0000,-0.9151,0.04725723,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
87,VFYUSDT,15m,pinbar_sell,0.07632000,0.07720528,0.07454944,0.07720528,SL_HIT,SHORT,2025-11-02 02:45:14.437154,2025-11-02 03:11:00.988,2196,0.07454944,0.07454944,0.07720528,100.00,100.00,f,f,SL_HIT,-1.0000,-1.1600,0.00085093,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
144,1000PEPEUSDT,15m,pinbar_sell,0.00616910,0.00623031,0.00604667,0.00623031,SL_HIT,SHORT,2025-11-03 07:45:27.47716,2025-11-03 09:09:01.007,2306,0.00604667,0.00604667,0.00623031,100.00,100.00,f,f,SL_HIT,-1.0000,-0.9922,0.00005238,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
119,FLOCKUSDT,15m,pinbar_sell,0.23740000,0.23892623,0.23434754,0.23892623,SL_HIT,SHORT,2025-11-02 22:00:19.050612,2025-11-02 23:14:00.552,2261,0.23434754,0.23434754,0.23892623,100.00,100.00,f,f,SL_HIT,-1.0000,-0.6429,0.00175409,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
122,OGUSDT,15m,pinbar_buy,12.39100000,12.25221180,12.66857641,12.25221180,SL_HIT,LONG,2025-11-02 23:15:12.99234,2025-11-03 00:56:00.534,2268,12.66857641,12.66857641,12.25221180,100.00,100.00,f,f,SL_HIT,-1.0000,-1.1201,0.10262734,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
140,PNUTUSDT,15m,pinbar_sell,0.11804000,0.11947958,0.11516084,0.11947958,SL_HIT,SHORT,2025-11-03 07:45:19.771546,2025-11-03 14:08:00.578,2302,0.11516084,0.11516084,0.11947958,100.00,100.00,f,f,SL_HIT,-1.0000,-1.2196,0.00119860,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
161,RUNEUSDT,15m,pinbar_sell,0.80900000,0.81590489,0.79519022,0.81590489,SL_HIT,SHORT,2025-11-03 11:30:14.86175,2025-11-03 12:13:01.052,2339,0.79519022,0.79519022,0.81590489,100.00,100.00,f,f,SL_HIT,-1.0000,-0.8535,0.00634964,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
177,BTCDOMUSDT,15m,pinbar_buy,4451.50000000,4436.36951442,4481.76097116,4436.36951442,SL_HIT,LONG,2025-11-03 13:45:18.399138,2025-11-03 14:08:01.198,2364,4481.76097116,4481.76097116,4436.36951442,100.00,100.00,f,f,SL_HIT,-1.0000,-0.3399,12.10161860,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
157,SANDUSDT,15m,pinbar_sell,0.19364000,0.19586237,0.18919525,0.19586237,SL_HIT,SHORT,2025-11-03 11:30:13.127102,2025-11-03 14:08:02.283,2335,0.18919525,0.18919525,0.19586237,100.00,100.00,f,f,SL_HIT,-1.0000,-1.1477,0.00170791,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
