id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
355,SCRTUSDT,15m,LONG,pinbar_buy,0.20570000,0.19728731,0.22084284,0.22084284,0.22084284,TP2_HIT,TP2_HIT,1.8000,7.3616,uptrend,f,7,bullish,0.3143,65.00,with,0.00670000,,,,1.5572,-0.1308,2025-11-04 20:30:18.782531,,0.00570896,,0.00000000,,1.80,1.80,1.80,f,
351,LINKUSDT,15m,SHORT,pinbar_sell,14.55500000,14.77793648,14.10912705,14.10912705,14.10912705,TP2_HIT,TP2_HIT,2.0000,3.0634,downtrend,f,5,choppy,-0.9568,50.00,with,0.15500000,,,,2.0275,0.0000,2025-11-04 19:30:13.622284,,0.22645492,,0.00000000,,2.00,2.00,2.00,f,
350,HANAUSDT,15m,SHORT,pinbar_sell,0.02283000,0.02327164,0.02194672,0.02194672,0.02194672,TP2_HIT,TP2_HIT,2.0000,3.8689,downtrend,f,5,choppy,-0.1763,50.00,with,0.00029000,,,,2.6492,-0.8831,2025-11-04 19:30:12.026987,,0.00050547,,0.00000000,,2.00,2.00,2.00,f,
348,AIAUSDT,15m,LONG,fakey_buy,2.44090000,2.18072206,2.90922029,2.90922029,2.90922029,TP2_HIT,TP2_HIT,1.8000,19.1864,uptrend,t,9,bearish,6.7558,50.00,with,0.20580000,,,,1.7069,-0.5112,2025-11-04 19:15:11.765579,,0.18125979,,0.00000000,,1.80,1.80,1.80,f,
347,TAOUSDT,15m,SHORT,pinbar_sell,406.57000000,415.50937446,388.69125108,388.69125108,388.69125108,TP2_HIT,TP2_HIT,2.0000,4.3975,downtrend,f,5,bearish,-0.3623,80.00,with,6.52000000,,,,1.9330,-0.2685,2025-11-04 17:45:12.198096,,8.06458154,,0.00000000,,2.00,2.00,2.00,f,
328,LISTAUSDT,15m,SHORT,pinbar_sell,0.23270000,0.23685085,0.22439831,0.22439831,0.22439831,TP2_HIT,TP2_HIT,2.0000,3.5676,downtrend,f,7,bullish,0.0234,65.00,with,0.00340000,,,,1.9755,0.0000,2025-11-04 11:30:16.324018,,0.00250282,,0.00000000,,2.00,2.00,2.00,f,
320,WIFUSDT,15m,SHORT,pinbar_sell,0.42200000,0.42939513,0.40720973,0.40720973,0.40720973,TP2_HIT,TP2_HIT,2.0000,3.5048,downtrend,f,7,choppy,-0.5242,65.00,with,0.00550000,,,,1.9607,-0.5274,2025-11-04 08:45:21.317936,,0.00631711,,0.00000000,,2.00,2.00,2.00,f,
319,ZROUSDT,15m,SHORT,pinbar_sell,1.39910000,1.41923028,1.35883944,1.35883944,1.35883944,TP2_HIT,TP2_HIT,2.0000,2.8776,downtrend,f,8,bearish,-0.1562,65.00,with,0.01440000,,,,2.0715,-0.8693,2025-11-04 08:45:20.368055,,0.01910093,,0.00000000,,2.00,2.00,2.00,f,
316,EULUSDT,15m,SHORT,pinbar_sell,7.19700000,7.33751343,6.91597313,6.91597313,6.91597313,TP2_HIT,TP2_HIT,2.0000,3.9048,downtrend,f,6,bearish,0.0266,65.00,with,0.19000000,,,,2.1279,0.0000,2025-11-04 08:45:14.280475,,0.09504478,,0.00000000,,2.00,2.00,2.00,f,
312,BIOUSDT,15m,SHORT,pinbar_sell,0.07435000,0.07563338,0.07178324,0.07178324,0.07178324,TP2_HIT,TP2_HIT,2.0000,3.4523,downtrend,t,5,bullish,-0.1744,50.00,with,0.00098000,,,,1.9636,-0.8026,2025-11-04 08:45:11.891384,,0.00101127,,0.00000000,,2.00,2.00,2.00,f,
308,SNXUSDT,15m,SHORT,pinbar_sell,0.89100000,0.91333664,0.84632671,0.84632671,0.84632671,TP2_HIT,TP2_HIT,2.0000,5.0138,downtrend,f,8,bearish,-0.3538,80.00,with,0.01800000,,,,1.8355,-0.4029,2025-11-04 06:30:15.792644,,0.01445548,,0.00000000,,2.00,2.00,2.00,f,
307,LAUSDT,15m,SHORT,pinbar_sell,0.35020000,0.35860172,0.33339655,0.33339655,0.33339655,TP2_HIT,TP2_HIT,2.0000,4.7982,uptrend,t,7,bearish,-0.0719,80.00,against,0.00420000,,,,1.9758,-0.6308,2025-11-04 06:30:15.725429,,0.00567241,,0.00000000,,2.00,2.00,2.00,f,
306,EDENUSDT,15m,SHORT,pinbar_sell,0.10790000,0.11143963,0.10152867,0.10152867,0.10152867,TP2_HIT,TP2_HIT,1.8000,5.9049,sideways,f,8,bearish,-0.0874,80.00,neutral,0.00280000,,,,1.7798,-0.7345,2025-11-04 06:30:12.615475,,0.00179876,,0.00000000,,1.80,1.80,1.80,f,
299,ATOMUSDT,15m,SHORT,fakey_sell,2.51800000,2.54512320,2.46375361,2.46375361,2.46375361,TP2_HIT,TP2_HIT,2.0000,2.1543,downtrend,f,13,choppy,-0.1212,65.00,with,0.02100000,,,,1.8803,-0.6636,2025-11-04 04:15:20.28449,,0.02041065,,0.00000000,,2.00,2.00,2.00,f,
292,ZECUSDT,15m,LONG,pinbar_buy,433.58000000,409.27805696,477.32349748,477.32349748,477.32349748,TP2_HIT,TP2_HIT,1.8000,10.0889,uptrend,t,9,bullish,3.1934,6.00,with,11.25000000,,,,1.7846,-0.2136,2025-11-04 01:00:20.29026,,9.13981014,,,,1.80,1.80,1.80,,
291,ZBTUSDT,15m,SHORT,pinbar_sell,0.16430000,0.16795580,0.15698841,0.15698841,0.15698841,TP2_HIT,TP2_HIT,2.0000,4.4502,downtrend,f,11,bearish,-0.7360,5.00,with,,,,,1.8874,-0.6838,2025-11-04 00:15:11.835918,,0.00218598,,,,2.00,2.00,2.00,,
290,42USDT,15m,SHORT,pinbar_sell,0.08458000,0.08636025,0.08101949,0.08101949,0.08101949,TP2_HIT,TP2_HIT,2.0000,4.2096,downtrend,f,10,choppy,-1.9221,6.00,with,,,,,1.5840,0.0000,2025-11-03 23:45:13.747441,,0.00186752,,,,2.00,2.00,2.00,,
270,XVGUSDT,15m,LONG,fakey_buy,0.00737400,0.00705090,0.00795557,0.00795557,0.00795557,TP2_HIT,TP2_HIT,1.8000,7.8869,uptrend,f,7,choppy,2.7484,5.00,with,,,,,1.8230,0.0000,2025-11-03 21:30:18.350827,,0.00018365,,,,1.80,1.80,1.80,,
